Name,Category,Bias,Type,URL
"Artnet","ARTS","LIBERAL","INDEPENDENT","https://news.artnet.com/feed/"
"Artsy","ARTS","CENTRIST","INDEPENDENT","https://www.artsy.net/rss/news"
"Asia Times","WORLD","LEFT","INDEPENDENT","https://asiatimes.com/feed/"
"Astronomy Magazine","SCIENCE","CENTRIST","INDEPENDENT","https://www.astronomy.com/feed/"
"Astronomy Now","SPACE","CENTRIST","INDEPENDENT","https://astronomynow.com/feed/"
"Axios","NEWS","LIBERAL","CORPORATE","https://api.axios.com/feed/top"
"Axios - Business","ECONOMICS","LIBERAL","CORPORATE","https://api.axios.com/feed/business"
"Axios - Science","SCIENCE","LIBERAL","CORPORATE","https://api.axios.com/feed/science"
"BBC Asia","WORLD","LIBERAL","STATE","https://feeds.bbci.co.uk/news/world/asia/rss.xml"
"BBC News","WORLD","LIBERAL","STATE","http://feeds.bbci.co.uk/news/rss.xml"
"BBC News - Business","ECONOMICS","LIBERAL","STATE","http://feeds.bbci.co.uk/news/business/rss.xml"
"BBC News - Entertainment & Arts","ENTERTAINMENT","LIBERAL","STATE","http://feeds.bbci.co.uk/news/entertainment_and_arts/rss.xml"
"BBC News - Health","HEALTH","LIBERAL","STATE","http://feeds.bbci.co.uk/news/health/rss.xml"
"BBC News - Politics","POLITICS","LIBERAL","STATE","http://feeds.bbci.co.uk/news/politics/rss.xml"
"BBC News - Science & Environment","SCIENCE","LIBERAL","STATE","http://feeds.bbci.co.uk/news/science_and_environment/rss.xml"
"BBC News - Technology","TECH","LIBERAL","STATE","http://feeds.bbci.co.uk/news/technology/rss.xml"
"BBC Sport","SPORTS","LIBERAL","STATE","http://feeds.bbci.co.uk/sport/rss.xml"
"Balkinization","LAW","LEFT","INDEPENDENT","https://balkin.blogspot.com/feeds/posts/default"
"Barrett Sports Media","SPORTS","CONSERVATIVE","INDEPENDENT","https://barrettsportsmedia.com/feed/"
"Beautiful Art","ARTS","CENTRIST","INDEPENDENT","https://www.beautifullife.info/art-works/feed/"
"Behind the Black","SPACE","CONSERVATIVE","INDEPENDENT","https://behindtheblack.com/feed/"
"Benedict Evans","AI","CONSERVATIVE","INDEPENDENT","https://www.ben-evans.com/benedictevans?format=rss"
"Big Hollywood","ENTERTAINMENT","RIGHT","INDEPENDENT","https://www.breitbart.com/entertainment/feed/"
"Billboard","MUSIC","CENTRIST","CORPORATE","https://www.billboard.com/feed/"
"Boing Boing","ENTERTAINMENT","LEFT","INDEPENDENT","https://boingboing.net/feed"
"Breitbart News","POLITICS","RIGHT","INDEPENDENT","http://feeds.feedburner.com/breitbart"
"CBS News - Entertainment","ENTERTAINMENT","LIBERAL","CORPORATE","https://www.cbsnews.com/latest/rss/entertainment"
"CBS News - MoneyWatch","ECONOMICS","LIBERAL","CORPORATE","https://www.cbsnews.com/latest/rss/moneywatch"
"CBS News - Politics","POLITICS","LIBERAL","CORPORATE","https://www.cbsnews.com/latest/rss/politics"
"CBS News - Science","SCIENCE","LIBERAL","CORPORATE","https://www.cbsnews.com/latest/rss/science"
"CBS News - Sports","SPORTS","LIBERAL","CORPORATE","https://www.cbsnews.com/latest/rss/sports"
"CBS Sports","SPORTS","CENTRIST","CORPORATE","https://www.cbssports.com/rss/headlines/"
"CFACT","ENVIRONMENT","CONSERVATIVE","INDEPENDENT","https://www.cfact.org/feed/"
"CNBC","ECONOMICS","LIBERAL","CORPORATE","https://www.cnbc.com/id/10000664/device/rss/rss.html"
"CNET News","TECH","CENTRIST","CORPORATE","https://www.cnet.com/rss/news/"
"CNN - Entertainment","ENTERTAINMENT","LEFT","CORPORATE","http://rss.cnn.com/rss/cnn_showbiz.rss"
"CNN - Politics","POLITICS","LEFT","CORPORATE","http://rss.cnn.com/rss/cnn_allpolitics.rss"
"CNN - Sport","SPORTS","LEFT","CORPORATE","http://rss.cnn.com/rss/edition_sport.rss"
"CNN Business","ECONOMICS","LEFT","CORPORATE","http://rss.cnn.com/rss/money_latest.rss"
"CO2 Coalition","ENVIRONMENT","RIGHT","INDEPENDENT","https://co2coalition.org/feed/"
"Carbon Brief","ENVIRONMENT","CENTRIST","INDEPENDENT","https://www.carbonbrief.org/feed"
"Climate Change News","ENVIRONMENT","LIBERAL","INDEPENDENT","https://climatechangenews.com/feed/"
"Climate Depot","ENVIRONMENT","RIGHT","INDEPENDENT","https://www.climatedepot.com/feed/"
"Collider","ENTERTAINMENT","CENTRIST","INDEPENDENT","https://collider.com/feed/"
"Common Dreams","NEWS","LEFT","INDEPENDENT","https://www.commondreams.org/feeds/feed.rss"
"Consequence","ENTERTAINMENT","LIBERAL","INDEPENDENT","https://consequence.net/feed/"
"Consequence of Sound","MUSIC","LIBERAL","INDEPENDENT","https://consequenceofsound.net/feed/"
"Contemporary Art Review","ARTS","LEFT","INDEPENDENT","https://contemporaryartreview.la/feed/"
"Courthouse News","LAW","LIBERAL","INDEPENDENT","https://www.courthousenews.com/feed/"
"DJ Booth","MUSIC","CENTRIST","INDEPENDENT","https://djbooth.net/rss"
"Daily Caller","NEWS","RIGHT","INDEPENDENT","https://dailycaller.com/feed/"
"Daily Kos","US","LEFT","INDEPENDENT","https://www.dailykos.com/blogs/main.rss"
"Daily Wire","NEWS","RIGHT","INDEPENDENT","https://www.dailywire.com/feeds/rss.xml"
"Deadline","ENTERTAINMENT","LIBERAL","CORPORATE","https://deadline.com/feed/"
"Deadspin","SPORTS","LEFT","INDEPENDENT","https://deadspin.com/rss"
"DeepMind Blog","AI","CENTRIST","INDEPENDENT","https://deepmind.com/blog/rss.xml"
"Democracy Now","WORLD","LEFT","STATE","https://www.democracynow.org/democracynow.rss"
"Deutsche Welle","WORLD","LIBERAL","STATE","https://rss.dw.com/rdf/rss-en-all"
"Discovery Institute","SCIENCE","RIGHT","INDEPENDENT","https://www.discovery.org/feed/"
"Distill","AI","CENTRIST","INDEPENDENT","https://distill.pub/rss.xml"
"E&E News","ENVIRONMENT","CENTRIST","INDEPENDENT","https://www.eenews.net/rss"
"ESA","SPACE","CENTRIST","STATE","https://www.esa.int/rssfeed/Our_Activities/Space_News"
"ESPN","SPORTS","CENTRIST","CORPORATE","https://www.espn.com/espn/rss/news"
"Economic Policy Institute","ECONOMICS","LEFT","INDEPENDENT","https://www.epi.org/feed/"
"Fashion Gone Rogue","FASHION","CENTRIST","INDEPENDENT","https://www.fashiongonerogue.com/feed/"
"Fashion Journal","FASHION","LEFT","INDEPENDENT","https://fashionjournal.com.au/feed/"
"Financial Times","ECONOMICS","CENTRIST","CORPORATE","https://www.ft.com/?format=rss"
"FiveThirtyEight Politics","POLITICS","LIBERAL","INDEPENDENT","https://fivethirtyeight.com/politics/feed/"
"Forbes - Business","ECONOMICS","CENTRIST","CORPORATE","https://www.forbes.com/business/feed/"
"Foreign Policy","WORLD","CENTRIST","INDEPENDENT","https://foreignpolicy.com/feed/"
"Fortune","ECONOMICS","CENTRIST","CORPORATE","https://fortune.com/feed/"
"Fox News - Health","HEALTH","RIGHT","CORPORATE","https://moxie.foxnews.com/google-publisher/health.xml"
"Fox News - Sports","SPORTS","RIGHT","CORPORATE","http://feeds.foxnews.com/foxnews/sports"
"Fox Sports","SPORTS","CONSERVATIVE","CORPORATE","https://api.foxsports.com/v1/rss?partnerKey=zBaFxRyGKCfxBagJG9b8pqLyndmvo7UU"
"France 24","WORLD","CENTRIST","STATE","https://www.france24.com/en/rss"
"Free Republic Tech","TECH","RIGHT","INDEPENDENT","https://freerepublic.com/tag/tech/feed.rss"
"Future of Life Institute","AI","CENTRIST","INDEPENDENT","https://futureoflife.org/feed/"
"GQ","FASHION","LIBERAL","CORPORATE","https://www.gq.com/feed/rss"
"Gizmodo","TECH","LEFT","CORPORATE","https://gizmodo.com/rss"
"Green Car Reports","ENVIRONMENT","LIBERAL","INDEPENDENT","https://www.greencarreports.com/rss"
"Grist","ENVIRONMENT","LEFT","INDEPENDENT","https://grist.org/feed/"
"Hacker News","TECH","CENTRIST","INDEPENDENT","https://news.ycombinator.com/rss"
"Health Affairs","HEALTH","LIBERAL","INDEPENDENT","https://www.healthaffairs.org/action/showFeed?type=etoc&feed=rss&jc=hlthaff"
"Healthline","HEALTH","LIBERAL","INDEPENDENT","https://www.healthline.com/rss/health-news"
"Highsnobiety","FASHION","CENTRIST","INDEPENDENT","https://www.highsnobiety.com/feed/"
"Hot Air Tech","TECH","RIGHT","INDEPENDENT","https://hotair.com/tech/feed/"
"HuffPost - Politics","POLITICS","LEFT","CORPORATE","https://www.huffpost.com/section/politics/feed"
"Hugging Face Blog","AI","CENTRIST","INDEPENDENT","https://www.huggingface.co/blog/feed.xml"
"Hypebeast","FASHION","CENTRIST","INDEPENDENT","https://hypebeast.com/feed"
"Hyperallergic","ARTS","LEFT","INDEPENDENT","https://hyperallergic.com/feed/"
"IEEE Spectrum","SCIENCE","CENTRIST","INDEPENDENT","https://spectrum.ieee.org/rss"
"Inside Climate News","ENVIRONMENT","LIBERAL","INDEPENDENT","https://insideclimatenews.org/feed/"
"Investopedia","ECONOMICS","CENTRIST","CORPORATE","https://www.investopedia.com/feedbuilder/feed/getfeed/?feedname=rss_articles"
"Jacobin","NEWS","LEFT","INDEPENDENT","https://jacobin.com/feed"
"Japan Times","WORLD","CENTRIST","INDEPENDENT","https://www.japantimes.co.jp/feed/"
"Jerusalem Post","WORLD","CONSERVATIVE","INDEPENDENT","https://www.jpost.com/rss/rssfeedsheadlines.aspx"
"JoNova","ENVIRONMENT","RIGHT","INDEPENDENT","https://joannenova.com.au/feed/"
"Jurist","LAW","LIBERAL","INDEPENDENT","https://www.jurist.org/feed/"
"Justia News","LAW","CENTRIST","INDEPENDENT","https://news.justia.com/feed"
"Kaiser Health News","HEALTH","LIBERAL","INDEPENDENT","https://kffhealthnews.org/feed/"
"Knowledge@Wharton","ECONOMICS","CENTRIST","INDEPENDENT","https://knowledge.wharton.upenn.edu/feed/"
"LA Times","US","LIBERAL","CORPORATE","https://www.latimes.com/nation/rss2.0.xml"
"Law & Crime","LAW","LIBERAL","INDEPENDENT","https://lawandcrime.com/feed/"
"Legal Insurrection","LAW","RIGHT","INDEPENDENT","https://legalinsurrection.com/feed/"
"Less Wrong","AI","CENTRIST","INDEPENDENT","https://www.lesswrong.com/feed.xml"
"Live Science","SCIENCE","CENTRIST","INDEPENDENT","https://www.livescience.com/feeds/all"
"MIT Technology Review","TECH","CENTRIST","INDEPENDENT","https://www.technologyreview.com/feed/"
"Machine Learning Mastery","AI","CENTRIST","INDEPENDENT","https://machinelearningmastery.com/feed/"
"MarketWatch","ECONOMICS","CENTRIST","CORPORATE","https://www.marketwatch.com/rss/topstories"
"Master Resource","ENVIRONMENT","CONSERVATIVE","INDEPENDENT","https://www.masterresource.org/feed/"
"MedPage Today","HEALTH","CENTRIST","INDEPENDENT","https://www.medpagetoday.com/rss/headlines.xml"
"Medical Xpress","HEALTH","CENTRIST","INDEPENDENT","https://medicalxpress.com/rss-feed/"
"Medscape","HEALTH","CENTRIST","INDEPENDENT","https://www.medscape.com/cx/rssfeeds/2700.xml"
"Metal Injection","MUSIC","CENTRIST","INDEPENDENT","https://metalinjection.net/feed"
"Mind Matters","AI","CONSERVATIVE","INDEPENDENT","https://mindmatters.ai/feed/"
"Mises Institute","ECONOMICS","RIGHT","INDEPENDENT","https://mises.org/feed/rss.xml"
"Mother Jones","POLITICS","LEFT","INDEPENDENT","https://www.motherjones.com/feed/"
"MovieGuide","ENTERTAINMENT","CONSERVATIVE","INDEPENDENT","https://www.movieguide.org/rss"
"MovieWeb","ENTERTAINMENT","CENTRIST","INDEPENDENT","https://movieweb.com/feed/"
"NASA","SPACE","CENTRIST","STATE","https://www.nasa.gov/rss/dyn/breaking_news.rss"
"NASASpaceFlight","SPACE","CENTRIST","STATE","https://www.nasaspaceflight.com/feed/"
"NBC News - Business","ECONOMICS","LIBERAL","CORPORATE","http://feeds.nbcnews.com/nbcnews/public/business"
"NBC News - Health","HEALTH","LIBERAL","CORPORATE","https://feeds.nbcnews.com/nbcnews/public/health"
"NBC News - Politics","POLITICS","LIBERAL","CORPORATE","http://feeds.nbcnews.com/nbcnews/public/politics"
"NBC News - World","WORLD","LIBERAL","CORPORATE","http://feeds.nbcnews.com/nbcnews/public/world"
"NME","MUSIC","LIBERAL","INDEPENDENT","https://www.nme.com/feed"
"NPR - Business","ECONOMICS","LIBERAL","STATE","https://feeds.npr.org/1006/rss.xml"
"NPR - Entertainment","ENTERTAINMENT","LIBERAL","STATE","https://feeds.npr.org/1008/rss.xml"
"NPR - Health","HEALTH","LIBERAL","STATE","https://feeds.npr.org/1013/rss.xml"
"NPR - Politics","POLITICS","LIBERAL","STATE","https://feeds.npr.org/1014/rss.xml"
"NPR - Science","SCIENCE","LIBERAL","STATE","https://feeds.npr.org/1007/rss.xml"
"NYT - Business","ECONOMICS","LIBERAL","CORPORATE","https://rss.nytimes.com/services/xml/rss/nyt/Business.xml"
"NYT - Health","HEALTH","LIBERAL","CORPORATE","http://rss.nytimes.com/services/xml/rss/nyt/Health.xml"
"NYT - Movies","ENTERTAINMENT","LIBERAL","CORPORATE","https://rss.nytimes.com/services/xml/rss/nyt/Movies.xml"
"NYT - Politics","POLITICS","LIBERAL","CORPORATE","http://rss.nytimes.com/services/xml/rss/nyt/Politics.xml"
"NYT - Science","SCIENCE","LIBERAL","CORPORATE","https://rss.nytimes.com/services/xml/rss/nyt/Science.xml"
"NYT - Sports","SPORTS","LIBERAL","CORPORATE","https://rss.nytimes.com/services/xml/rss/nyt/Sports.xml"
"NYT - Technology","TECH","LIBERAL","CORPORATE","https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml"
"NYT - World","WORLD","LIBERAL","CORPORATE","https://rss.nytimes.com/services/xml/rss/nyt/World.xml"
"National Review","POLITICS","RIGHT","INDEPENDENT","https://www.nationalreview.com/feed/"
"Natural News","HEALTH","RIGHT","INDEPENDENT","https://www.naturalnews.com/rss.xml"
"Nature","SCIENCE","CENTRIST","INDEPENDENT","https://www.nature.com/nature.rss"
"New Criterion","ARTS","RIGHT","INDEPENDENT","https://newcriterion.com/rss/"
"New England Journal of Medicine","HEALTH","CENTRIST","INDEPENDENT","https://www.nejm.org/action/showFeed?jc=nejm&type=etoc&feed=rss"
"New Scientist","SCIENCE","CENTRIST","INDEPENDENT","https://www.newscientist.com/feed/home/"
"New York Post","NEWS","CONSERVATIVE","CORPORATE","https://nypost.com/feed/"
"Newsweek","US","CENTRIST","CORPORATE","https://www.newsweek.com/rss"
"Observer Arts","ARTS","CENTRIST","INDEPENDENT","https://observer.com/arts/rss/"
"Outkick","SPORTS","RIGHT","INDEPENDENT","https://www.outkick.com/feed/"
"Pacific Legal Foundation","LAW","RIGHT","INDEPENDENT","https://pacificlegal.org/feed/"
"Phys.org","SCIENCE","CENTRIST","INDEPENDENT","https://phys.org/rss-feed/"
"Pitchfork","MUSIC","LEFT","INDEPENDENT","https://pitchfork.com/rss/news/"
"Plugged In","ENTERTAINMENT","CONSERVATIVE","INDEPENDENT","https://www.pluggedin.com/rss/"
"PopCulture.com","ENTERTAINMENT","CENTRIST","INDEPENDENT","https://popculture.com/rss"
"Popular Mechanics","SCIENCE","CENTRIST","CORPORATE","https://www.popularmechanics.com/rss/"
"Popular Science","SCIENCE","CENTRIST","CORPORATE","https://www.popsci.com/feed/"
"Project Syndicate","ECONOMICS","LIBERAL","INDEPENDENT","https://www.project-syndicate.org/rss"
"Public Art Review","ARTS","LEFT","INDEPENDENT","https://forecastpublicart.org/feed/"
"Quanta Magazine","SCIENCE","CENTRIST","INDEPENDENT","https://www.quantamagazine.org/feed/"
"Real Climate","SCIENCE","LEFT","INDEPENDENT","http://www.realclimate.org/index.php/feed/"
"RealClearPolitics","POLITICS","CENTRIST","INDEPENDENT","https://www.realclearpolitics.com/index.xml"
"Reason","POLITICS","CONSERVATIVE","INDEPENDENT","https://reason.com/feed/"
"Recode","TECH","LEFT","INDEPENDENT","https://www.vox.com/rss/recode/index.xml"
"Rolling Stone","ENTERTAINMENT","LEFT","CORPORATE","https://www.rollingstone.com/feed/"
"Russia Today","WORLD","RIGHT","STATE","https://www.rt.com/rss/"
"SB Nation","SPORTS","CENTRIST","INDEPENDENT","https://www.sbnation.com/rss/index.xml"
"SCOTUSblog","LAW","CENTRIST","INDEPENDENT","https://www.scotusblog.com/feed/"
"STAT News","HEALTH","CENTRIST","INDEPENDENT","https://www.statnews.com/feed/"
"Saving Country Music","MUSIC","CONSERVATIVE","INDEPENDENT","https://www.savingcountrymusic.com/feed/"
"Science 2.0","SCIENCE","CONSERVATIVE","INDEPENDENT","https://www.science20.com/feed"
"Science Based Medicine","SCIENCE","LEFT","INDEPENDENT","https://sciencebasedmedicine.org/feed/"
"Science Magazine","SCIENCE","LIBERAL","INDEPENDENT","https://www.science.org/rss/news_current.xml"
"Science News","SCIENCE","CENTRIST","INDEPENDENT","https://www.sciencenews.org/feed"
"ScienceDaily","SCIENCE","CENTRIST","INDEPENDENT","https://www.sciencedaily.com/rss/all.xml"
"Scientific American","SCIENCE","CENTRIST","CORPORATE","http://rss.sciam.com/ScientificAmerican-Global"
"Screen Rant","ENTERTAINMENT","CENTRIST","INDEPENDENT","https://screenrant.com/feed/"
"Seeking Alpha","ECONOMICS","CONSERVATIVE","INDEPENDENT","https://seekingalpha.com/feed.xml"
"Singularity Hub","AI","LIBERAL","INDEPENDENT","https://singularityhub.com/feed/"
"Sky News - UK","WORLD","CENTRIST","CORPORATE","https://feeds.skynews.com/feeds/rss/uk.xml"
"Sky News - World","WORLD","CENTRIST","CORPORATE","https://feeds.skynews.com/feeds/rss/world.xml"
"Slashdot","TECH","CENTRIST","INDEPENDENT","https://rss.slashdot.org/Slashdot/slashdotMain"
"Slate","US","LIBERAL","CORPORATE","https://slate.com/feeds/all.rss"
"Smithsonian Magazine","SCIENCE","CENTRIST","INDEPENDENT","https://www.smithsonianmag.com/rss/latest_articles/"
"Space Intel Report","SPACE","CENTRIST","INDEPENDENT","https://www.spaceintelreport.com/feed/"
"Space.com","SPACE","CENTRIST","INDEPENDENT","https://www.space.com/feeds/all"
"SpaceNews","SPACE","CENTRIST","INDEPENDENT","https://spacenews.com/feed/"
"SpacePolicyOnline","SPACE","CENTRIST","INDEPENDENT","https://spacepolicyonline.com/feed/"
"SpaceRef","SPACE","CENTRIST","INDEPENDENT","https://spaceref.com/feed/"
"Sporting News","SPORTS","CENTRIST","INDEPENDENT","https://www.sportingnews.com/us/rss"
"Stereogum","MUSIC","LEFT","INDEPENDENT","https://www.stereogum.com/feed/"
"TMZ","ENTERTAINMENT","CENTRIST","CORPORATE","https://www.tmz.com/rss.xml"
"TechCrunch","TECH","CENTRIST","CORPORATE","https://techcrunch.com/feed/"
"Techdirt","LAW","LEFT","INDEPENDENT","https://www.techdirt.com/feed/"
"Techmeme","TECH","CENTRIST","INDEPENDENT","https://www.techmeme.com/feed.xml"
"The A.V. Club","ENTERTAINMENT","LEFT","INDEPENDENT","https://www.avclub.com/rss"
"The American Conservative","POLITICS","RIGHT","INDEPENDENT","https://www.theamericanconservative.com/feed/"
"The Atlantic","NEWS","LIBERAL","CORPORATE","https://www.theatlantic.com/feed/all/"
"The Atlantic - Politics","POLITICS","LIBERAL","CORPORATE","https://www.theatlantic.com/feed/channel/politics/"
"The Blaze","NEWS","RIGHT","INDEPENDENT","https://www.theblaze.com/feeds/feed.rss"
"The Boot","MUSIC","CONSERVATIVE","INDEPENDENT","https://theboot.com/feed/"
"The Bulwark","NEWS","CONSERVATIVE","INDEPENDENT","https://thebulwark.com/feed"
"The Business of Fashion","FASHION","CENTRIST","INDEPENDENT","https://www.businessoffashion.com/feed.xml"
"The Diplomat","WORLD","CENTRIST","INDEPENDENT","https://thediplomat.com/feed/"
"The Economist - Finance and Economics","ECONOMICS","CENTRIST","CORPORATE","https://www.economist.com/finance-and-economics/rss.xml"
"The Fashion Spot","FASHION","LIBERAL","INDEPENDENT","https://www.thefashionspot.com/feed/"
"The Federalist","NEWS","CONSERVATIVE","INDEPENDENT","https://thefederalist.com/feed/"
"The Gradient","AI","CENTRIST","INDEPENDENT","https://thegradient.pub/rss/"
"The Green Market","ENVIRONMENT","LEFT","INDEPENDENT","https://www.thegreenmarketoracle.com/feeds/posts/default"
"The Guardian - Science","SCIENCE","LIBERAL","CORPORATE","https://www.theguardian.com/science/rss"
"The Guardian - Technology","TECH","LIBERAL","CORPORATE","https://www.theguardian.com/technology/rss"
"The Guardian - World","WORLD","LIBERAL","CORPORATE","https://www.theguardian.com/world/rss"
"The Healthy Skeptic","HEALTH","RIGHT","INDEPENDENT","https://healthy-skeptic.com/feed/"
"The Hill","POLITICS","CENTRIST","CORPORATE","https://thehill.com/rss/syndicator/19109"
"The Hill","NEWS","CENTRIST","CORPORATE","https://thehill.com/news/feed/"
"The Hollywood Reporter","ENTERTAINMENT","LIBERAL","CORPORATE","https://www.hollywoodreporter.com/feed/"
"The Intercept","POLITICS","LEFT","INDEPENDENT","https://theintercept.com/feed/?rss"
"The Nation","POLITICS","LEFT","INDEPENDENT","https://www.thenation.com/feed/?post_type=article"
"The Nation","US","LEFT","INDEPENDENT","https://www.thenation.com/feed/"
"The National Interest","WORLD","RIGHT","INDEPENDENT","https://nationalinterest.org/feed"
"The Register","TECH","CONSERVATIVE","INDEPENDENT","https://www.theregister.com/headlines.atom"
"The Spectator World","WORLD","CONSERVATIVE","INDEPENDENT","https://spectatorworld.com/feed/"
"The Verge","TECH","LEFT","CORPORATE","https://www.theverge.com/rss/index.xml"
"The Vinyl Factory","MUSIC","LEFT","INDEPENDENT","https://thevinylfactory.com/feed/"
"The Volokh Conspiracy","LAW","CONSERVATIVE","INDEPENDENT","https://reason.com/volokh/feed/"
"Times of India","WORLD","CENTRIST","CORPORATE","https://timesofindia.indiatimes.com/rssfeedstopstories.cms"
"Towards Data Science","AI","CENTRIST","INDEPENDENT","https://towardsdatascience.com/feed"
"Traditional Building","ARTS","CONSERVATIVE","INDEPENDENT","https://www.traditionalbuilding.com/rss"
"Truth on the Market","LAW","RIGHT","INDEPENDENT","https://truthonthemarket.com/feed/"
"UN News","WORLD","CENTRIST","STATE","https://news.un.org/feed/subscribe/en/news/all/rss.xml"
"Ultimate Classic Rock","MUSIC","CENTRIST","INDEPENDENT","https://ultimateclassicrock.com/feed/"
"Undark Magazine","SCIENCE","CENTRIST","INDEPENDENT","https://undark.org/feed/"
"Universe Today","SPACE","CENTRIST","INDEPENDENT","https://www.universetoday.com/feed/"
"Variety","ENTERTAINMENT","LIBERAL","CORPORATE","https://variety.com/feed/"
"VentureBeat","TECH","CENTRIST","INDEPENDENT","https://venturebeat.com/feed/"
"Vox - Politics","POLITICS","LEFT","CORPORATE","https://www.vox.com/rss/policy-and-politics/index.xml"
"WHO News","HEALTH","CENTRIST","STATE","https://www.who.int/rss-feeds/news-english.xml"
"WIRED","TECH","LIBERAL","CORPORATE","https://www.wired.com/feed/rss"
"WSJ - Business","ECONOMICS","CENTRIST","CORPORATE","https://feeds.a.dj.com/rss/RSSWSJD.xml"
"WWD","FASHION","CENTRIST","CORPORATE","https://wwd.com/feed/"
"Washington Examiner - Politics","POLITICS","RIGHT","INDEPENDENT","https://www.washingtonexaminer.com/tag/politics.rss"
"Washington Legal Foundation","LAW","CONSERVATIVE","INDEPENDENT","https://www.wlf.org/feed/"
"Washington Times","POLITICS","CONSERVATIVE","INDEPENDENT","https://www.washingtontimes.com/rss/headlines/news/politics/"
"Washington Times US","US","CONSERVATIVE","CORPORATE","https://www.washingtontimes.com/rss/headlines/news/national/"
"Watts Up With That","SCIENCE","CONSERVATIVE","INDEPENDENT","https://wattsupwiththat.com/feed/"
"WhoWhatWear","FASHION","CENTRIST","INDEPENDENT","https://www.whowhatwear.com/rss"
"Wired - Science","SCIENCE","LIBERAL","CORPORATE","https://www.wired.com/feed/category/science/latest/rss"
"XXL Magazine","MUSIC","CENTRIST","INDEPENDENT","https://www.xxlmag.com/feed/"
"Yahoo Finance","ECONOMICS","LIBERAL","CORPORATE","https://finance.yahoo.com/news/rssindex"
"Yahoo Sports","SPORTS","LIBERAL","CORPORATE","https://sports.yahoo.com/rss/"
"Yale Environment 360","ENVIRONMENT","LIBERAL","INDEPENDENT","https://e360.yale.edu/feed.xml"
"ZDNet","TECH","CENTRIST","INDEPENDENT","https://www.zdnet.com/news/rss.xml"
"Zero Hedge","ECONOMICS","RIGHT","INDEPENDENT","https://feeds.feedburner.com/zerohedge/feed"
